Product_item_no,Product_mfr_no,Product_name,Product_packsize,Product_price,Product_url,Product_value,Product_wght
6285818,9.11,LLG Petridishes PS with Triple Vents Sterile; External Diameter 60mm; Height approx. 14mm,1000pk,"€ 89,23",https://www.reagecon.com/lifesciences/microbiology/llg-petridishes-ps-with-triple-vents-sterile-6285818?returnurl=%2flifesciences%2fmicrobiology%2f,6285818,9.11
6285816,7.98,LLG Petridishes PS with Triple Vents Sterile; External Diameter 90mm; Height approx. 16mm,480pk,"€ 44,80",https://www.reagecon.com/lifesciences/microbiology/llg-petridishes-ps-with-triple-vents-sterile-6285816?returnurl=%2flifesciences%2fmicrobiology%2f,6285816,7.98
6285823,7.98,LLG Petridishes PS with Triple Vents Aseptic; External Diameter 90mm; Height approx. 16mm,480pk,"€ 32,93",https://www.reagecon.com/lifesciences/microbiology/llg-petridishes-ps-with-triple-vents-aseptic-6285823?returnurl=%2flifesciences%2fmicrobiology%2f,6285823,7.98
6265639,2.37,LLG Spatula ABS L-Shaped Blue Sterile 38x156mm (WxL) Individually Packed,500pk,"€ 39,77",https://www.reagecon.com/lifesciences/microbiology/llg-spatula-abs-l-shaped-blue-sterile-38x156mm-wxl-6265639?returnurl=%2flifesciences%2fmicrobiology%2f,6265639,2.37
6300445,2.88,LLG Cellulose Stoppers Steristoppers® No. 18 long for Internal Diameter 17.0   19.0mm,3000pk,"€ 258,36",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-18-long-6300445?returnurl=%2flifesciences%2fmicrobiology%2f,6300445,2.88
6265638,1.45,LLG Spatula ABS L-Shaped Blue Sterile 38x156mm (WxL) Packed 50x10,50x10pk,"€ 27,12",https://www.reagecon.com/lifesciences/microbiology/llg-spatula-abs-l-shaped-blue-sterile-38x156mm-wxl-6265638?returnurl=%2flifesciences%2fmicrobiology%2f,6265638,1.45
6239556,1.64,LLG Cellulose Stoppers Steristoppers® for Internal Diameter 21.5   23.0 mm,500pk,"€ 45,53",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-for-internal-6239556?returnurl=%2flifesciences%2fmicrobiology%2f,6239556,1.64
6258570,13.69,LLG Cellulose Stoppers Steristoppers® No. 15 D for Internal Diameter 13.5   16.0mm,5000pk,"€ 198,74",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-15-d-for-6258570?returnurl=%2flifesciences%2fmicrobiology%2f,6258570,13.69
6234295,2.88,LLG Cellulose Stoppers Steristoppers® for Internal Diameter 4.5   6.5 mm,1000pk,"€ 41,42",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-for-internal-6234295?returnurl=%2flifesciences%2fmicrobiology%2f,6234295,2.88
6234404,2.88,LLG Cellulose Stoppers Steristoppers® for Internal Diameter 14.0   16.5 mm,1000pk,"€ 42,06",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-for-internal-6234404?returnurl=%2flifesciences%2fmicrobiology%2f,6234404,2.88
6251768,0.10,LLG Drigalski Spatula PS Sterile 4x51.5x174 (DxWxL),100pk,"€ 7,44",https://www.reagecon.com/lifesciences/microbiology/llg-drigalski-spatula-ps-sterile-4x51-5x174-dxwxl-6251768?returnurl=%2flifesciences%2fmicrobiology%2f,6251768,0.10
6235975,2.88,LLG Cellulose Stoppers Steristoppers® for Internal Diameter 12.0   14.5 mm,1000pk,"€ 56,21",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-for-internal-6235975?returnurl=%2flifesciences%2fmicrobiology%2f,6235975,2.88
6232440,0.82,LLG Cellulose Stoppers Steristoppers® for Internal Diameter 7.5   8.5 mm,4000pk,"€ 110,17",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-for-internal-6232440?returnurl=%2flifesciences%2fmicrobiology%2f,6232440,0.82
6085459,1.98,LLG Cellulose Stoppers Steristoppers® No. 20 A for Internal Diameter 20.5   22.5mm,500pk,"€ 29,76",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-20-a-for-6085459?returnurl=%2flifesciences%2fmicrobiology%2f,6085459,1.98
6202991,12.04,LLG Cellulose Stoppers Steristoppers® No. 15 P (for thin walled reagent tubes) for Internal Diameter 14.0   16.5mm,5000pk,"€ 214,89",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-15-p-for-6202991?returnurl=%2flifesciences%2fmicrobiology%2f,6202991,12.04
6050524,1.98,LLG Cellulose Stoppers Steristoppers® No. 14 P (for thick walled reagent tubes) for Internal Diameter 12.0   14.0mm,1000pk,"€ 37,02",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-14-p-for-6050524?returnurl=%2flifesciences%2fmicrobiology%2f,6050524,1.98
6073109,8.10,LLG Cellulose Stoppers Steristoppers® Magnum (for Glasses with Variable Wall Thickness) for Internal Diameter 26.0   30.0mm,800pk,"€ 182,07",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-magnum-for-6073109?returnurl=%2flifesciences%2fmicrobiology%2f,6073109,8.10
6055727,2.88,LLG Cellulose Stoppers Steristoppers® No. 9 D for Internal Diameter 7.0   9.5mm,1000pk,"€ 30,66",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-9-d-for-6055727?returnurl=%2flifesciences%2fmicrobiology%2f,6055727,2.88
6076490,2.88,LLG Cellulose Stoppers Steristoppers® No. 29 A for Internal Diameter 29.0   30.0mm,1500pk,"€ 192,86",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-29-a-for-6076490?returnurl=%2flifesciences%2fmicrobiology%2f,6076490,2.88
6070511,2.05,LLG Cellulose Stoppers Steristoppers® No. 14 D for Internal Diameter 11.5   13.0mm,1000pk,"€ 37,02",https://www.reagecon.com/lifesciences/microbiology/llg-cellulose-stoppers-steristoppers-no-14-d-for-6070511?returnurl=%2flifesciences%2fmicrobiology%2f,6070511,2.05
AAASH,0.62,Reagecon Arsenic (III) Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 1M Hydrochloric Acid (HCl),500ml,"€ 65,00",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-arsenic-iii-standard-for-atomic-aaash?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AAASM,0.62,"Reagecon Arsenic (III) Standard for Atomic Absorption (AAS) 10,000 µg/ml (10,000 ppm) in 1M Hydrochloric Acid (HCl)",500ml,"€ 157,24",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-arsenic-iii-standard-for-atomic-aaasm?returnurl=%2fphysicalchemical%2fanion_cation%2f,"10,000 µg/ml (10,000 ppm)",0.62
AAAS05H,0.62,Reagecon Arsenic (V) Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 1M Nitric Acid (HNO₃),500ml,"€ 125,38",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-arsenic-v-standard-for-atomic-absorption-aaas05h?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AAALM,0.62,"Reagecon Aluminium Standard for Atomic Absorption (AAS) 10,000 µg/ml (10,000 ppm) in 1M Nitric Acid (HNO₃)",500ml,"€ 157,24",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-aluminium-standard-for-atomic-absorption-aaalm?returnurl=%2fphysicalchemical%2fanion_cation%2f,"10,000 µg/ml (10,000 ppm)",0.62
AAALH,0.62,Reagecon Aluminium Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 0.5M Nitric Acid (HNO₃),500ml,"€ 33,59",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-aluminium-standard-for-atomic-absorption-aaalh?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AA-GLO-BA-500,0.62,Reagecon Barium Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 0.5M Nitric Acid (HNO₃),500ml,"€ 56,26",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-barium-standard-for-atomic-absorption-aas-aa--glo--ba--500?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AA-GLO-SIL-100,10104JO2,Reagecon Silicon Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in Water (H₂O),100ml,"€ 64,39",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-silicon-standard-for-atomic-absorption-aa--glo--sil--100?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.12
AAAGH,0.62,Reagecon Silver Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 0.5M Nitric Acid (HNO₃),500ml,"€ 48,60",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-silver-standard-for-atomic-absorption-aas-aaagh?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AAAGM,0.62,"Reagecon Silver Standard for Atomic Absorption (AAS) 10,000 µg/ml (10,000 ppm) in 1M Nitric Acid (HNO₃)",500ml,"€ 113,44",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-silver-standard-for-atomic-absorption-aas-aaagm?returnurl=%2fphysicalchemical%2fanion_cation%2f,"10,000 µg/ml (10,000 ppm)",0.62
AA-GLO-B-500,0.62,Reagecon Boron Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in Water (H₂O),500ml,"€ 55,09",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-boron-standard-for-atomic-absorption-aas-aa--glo--b--500?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AA-BIB-3-100,0.12,Reagecon Atomic Absorption (AAS) Multi Element Standard (3 Elements) 1000 µg/ml (1000 ppm) in 2% Nitric Acid (HNO₃),100ml,"€ 110,23",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-atomic-absorption-aas-multi-element-aa--bib--3--100?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.12
ISTOC1291,0.12,Reagecon System Suitability Set to JP for Total Organic Carbon (TOC) suitable for use with Beckman QbD1200 Analyser,2x40ml,"€ 105,00",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-system-suitability-set-to-jp-for-total-istoc1291?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,Mixed Set,0.12
AA-BIB-3-500,0.62,Reagecon Atomic Absorption (AAS) Multi Element Standard (3 Elements) 1000 µg/ml (1000 ppm) in 2% Nitric Acid (HNO₃),500ml,"€ 157,24",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-atomic-absorption-aas-multi-element-aa--bib--3--500?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
ISTOC1273,0.06,Reagecon 0.5 mg/l C as Sodium Dodecylbenzene Sulfonate Total Organic Carbon (TOC) Standard for Beckman QbD1200 Analyser,40ml,"€ 59,00",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-0-5-mg-l-c-as-sodium-dodecylbenzene-istoc1273?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,0.5 mg/l,0.06
ISTOC1272,Kg,Reagecon JP Reagent Water Total Organic Carbon (TOC) Standard for Beckman QbD1200 Analyser,40ml,"€ 54,75",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-jp-reagent-water-total-organic-carbon-toc-istoc1272?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,0.06,0.06
ISTOC1270,0.18,Reagecon System Suitability Set to USP for Total Organic Carbon (TOC) suitable for use with Beckman QbD1200 Analyser,3x40ml,"€ 150,00",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-system-suitability-set-to-usp-for-total-istoc1270?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,Mixed Set,0.18
4006091,0.21,Extraction thimbles; cellulose; Int. diam. 30 mm; Length 100 mm,25pk,"€ 63,28",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-30-mm-4006091?returnurl=%2fenvironmental%2fsample-analysis%2f,90030100,0.21
4006090,0.17,Extraction thimbles; cellulose; Int. diam. 30 mm; Length 80 mm,25pk,"€ 62,07",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-30-mm-4006090?returnurl=%2fenvironmental%2fsample-analysis%2f,90030080,0.17
ISTOC1104,0.12,Reagecon System Suitability Set to JP for Total Organic Carbon (TOC) suitable for use with Beckman QbD1200 Analyser,2x40ml,"€ 194,58",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-system-suitability-set-to-jp-for-total-istoc1104?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,Mixed Set,0.12
4006086,0.16,Extraction thimbles; cellulose; Int. diam. 28 mm; Length 80 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-28-mm-4006086?returnurl=%2fenvironmental%2fsample-analysis%2f,90028080,0.16
4006092,0.18,Extraction thimbles; cellulose; Int. diam. 33 mm; Length 60 mm,25pk,"€ 63,28",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-33-mm-4006092?returnurl=%2fenvironmental%2fsample-analysis%2f,90033060,0.18
4006087,0.18,Extraction thimbles; cellulose; Int. diam. 28 mm; Length 100 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-28-mm-4006087?returnurl=%2fenvironmental%2fsample-analysis%2f,90028100,0.18
4006082,0.12,Extraction thimbles; cellulose; Int. diam. 25 mm; Length 80 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-25-mm-4006082?returnurl=%2fenvironmental%2fsample-analysis%2f,90025080,0.12
4006081,0.12,Extraction thimbles; cellulose; Int. diam. 25 mm; Length 70 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-25-mm-4006081?returnurl=%2fenvironmental%2fsample-analysis%2f,90025070,0.12
4006084,0.14,Extraction thimbles; cellulose; Int. diam. 28 mm; Length 60 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-28-mm-4006084?returnurl=%2fenvironmental%2fsample-analysis%2f,90028060,0.14
4006079,0.13,Extraction thimbles; cellulose; Int. diam. 22 mm; Length 100 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-22-mm-4006079?returnurl=%2fenvironmental%2fsample-analysis%2f,90022100,0.13
4006083,0.17,Extraction thimbles; cellulose; Int. diam. 25 mm; Length 100 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-25-mm-4006083?returnurl=%2fenvironmental%2fsample-analysis%2f,90025100,0.17
4006078,0.12,Extraction thimbles; cellulose; Int. diam. 22 mm; Length 80 mm,25pk,"€ 57,83",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-22-mm-4006078?returnurl=%2fenvironmental%2fsample-analysis%2f,90022080,0.12
4006080,0.11,Extraction thimbles; cellulose; Int. diam. 25 mm; Length 60 mm,25pk,"€ 60,94",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-25-mm-4006080?returnurl=%2fenvironmental%2fsample-analysis%2f,90025060,0.11
4006017,0.80,Accessories for Microbiological Air Sampling System MBASS30; Description Filter adapter module FA30 (air flow: 30L/min),ea,"€ 246,93",https://www.reagecon.com/environmental/sample-analysis/accessories-for-microbiological-air-sampling-4006017?returnurl=%2fenvironmental%2fsample-analysis%2f,01-185,0.80
4006016,0.90,Accessories for Microbiological Air Sampling System MBASS30; Description Air sampler module LKS30 (air flow: 30L/min),ea,"€ 670,23",https://www.reagecon.com/environmental/sample-analysis/accessories-for-microbiological-air-sampling-4006016?returnurl=%2fenvironmental%2fsample-analysis%2f,01-105,0.90
4006014,1,Accessories for Microbiological Air Sampling System MBASS30; Description Particle sampler module PS30 (air flow: 30L/min),ea,"€ 860,71",https://www.reagecon.com/environmental/sample-analysis/accessories-for-microbiological-air-sampling-4006014?returnurl=%2fenvironmental%2fsample-analysis%2f,01-155,1
